2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:40::SqlDbType 的列舉值 0 無效。
參數名稱: SqlDbType

2019-08-26 09:31:40::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:40::當讀取器關閉時嘗試呼叫 MetaData 無效。

2019-08-26 09:31:40::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:46::協力電腦交易管理員已經停用了對遠端/網路交易的支援。 (發生例外狀況於 HRESULT: 0x8004D025)

2019-08-26 09:31:46::協力電腦交易管理員已經停用了對遠端/網路交易的支援。 (發生例外狀況於 HRESULT: 0x8004D025)

2019-08-26 13:30:49::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 13:30:49::並未將物件參考設定為物件的執行個體。

2019-08-26 14:50:06::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:07::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:08::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:53::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:50:59::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:51:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:51:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:51:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 14:51:19::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

