2020-08-29 10:41:49::並未將物件參考設定為物件的執行個體。

2020-08-29 10:41:49::已經開啟一個與這個 Command 相關的 DataReader，必須先將它關閉。

2020-08-29 10:41:49::並未將物件參考設定為物件的執行個體。

2020-08-29 15:01:04::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:01:07::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:01:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:01:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:01:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:01:14::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:14::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:14::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:15::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:16::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:16::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:16::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:17::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:18::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:18::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:18::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:04:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:06:30::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:06:31::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:10::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:11::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:20::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:20::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:07:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:12:09::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:12:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:12:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:47::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:49::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:53::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:53::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:53::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:54::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:13:54::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:37::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:46::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:47::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:16:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:24::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:25::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:26::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:27::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:27::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:28::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:30::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:32::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:32::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:33::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:33::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:33::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:33::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2020-08-29 15:26:34::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

