2021/06/06 14:48:28::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:01:25::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:01:25::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:07:17::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:10:39::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:11:54::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:12:54::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:33:22::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 15:58:51::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine_IDL', line 1, position 1190.

2021/06/06 16:13:31::Unexpected JSON token when reading DataTable. Expected StartArray, got StartObject. Path 'Vaccine', line 1, position 667.

