2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 15:27:02::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-07-15 15:27:02::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 15:27:02::並未將物件參考設定為物件的執行個體。

2021-07-15 18:34:59::並未將物件參考設定為物件的執行個體。

2021-07-15 18:34:59::已經開啟一個與這個 Command 相關的 DataReader，必須先將它關閉。

2021-07-15 18:34:59::並未將物件參考設定為物件的執行個體。

2021-07-15 18:35:00::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:00::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:01::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:01::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:06::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:06::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-07-15 18:35:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

