2021-09-22 13:03:23::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-09-22 13:03:24::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-09-22 13:03:24::並未將物件參考設定為物件的執行個體。

2021-09-22 13:03:24::已經開啟一個與這個 Command 相關的 DataReader，必須先將它關閉。

2021-09-22 13:03:24::並未將物件參考設定為物件的執行個體。

2021-09-22 13:03:24::並未將物件參考設定為物件的執行個體。

2021-09-22 13:03:24::並未將物件參考設定為物件的執行個體。

2021-09-22 13:03:24::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-09-22 13:03:24::並未將物件參考設定為物件的執行個體。

2021-09-22 18:32:14::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2021-09-22 18:32:14::並未將物件參考設定為物件的執行個體。

2021-09-22 18:32:14::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:32:14::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:32:17::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:32:17::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:32:59::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:32:59::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:03::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:03::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:04::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:05::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:07::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:08::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

2021-09-22 18:33:09::資料來源的型別 String 指定值無法轉換成指定目標資料行的型別 nvarchar。

